timestamp,number,gas_used,gas_limit,base_fee_per_gas
2023-03-21 00:58:35 UTC,16872602,16238045,30000000,18461018066
2023-03-21 00:58:47 UTC,16872603,8374401,30000000,18651481158
2023-03-21 00:58:59 UTC,16872604,13924708,30000000,17621670868
2023-03-21 00:59:11 UTC,16872605,9893084,30000000,17463767188
2023-03-21 00:59:23 UTC,16872606,7477435,30000000,16720550588
2023-03-21 00:59:47 UTC,16872607,29992238,30000000,15672372017
2023-03-21 00:59:59 UTC,16872608,13242864,30000000,17630404777
2023-03-21 01:00:11 UTC,16872609,15814828,30000000,17372246286
2023-03-21 01:00:23 UTC,16872610,15614185,30000000,17490207891
2023-03-21 01:00:35 UTC,16872611,14363813,30000000,17579726418
2023-03-21 01:00:47 UTC,16872612,13608142,30000000,17486526473
2023-03-21 01:00:59 UTC,16872613,9744128,30000000,17283703459
2023-03-21 01:01:11 UTC,16872614,16168817,30000000,16526695684
2023-03-21 01:01:23 UTC,16872615,10227403,30000000,16687668041
2023-03-21 01:01:35 UTC,16872616,13221644,30000000,16023972088
2023-03-21 01:01:47 UTC,16872617,15072246,30000000,15786502698
2023-03-21 01:01:59 UTC,16872618,16712671,30000000,15796006961
2023-03-21 01:02:11 UTC,16872619,12751846,30000000,16021451652
2023-03-21 01:02:23 UTC,16872620,13324324,30000000,15721295897
2023-03-21 01:02:35 UTC,16872621,20096073,30000000,15501764246
2023-03-21 01:02:47 UTC,16872622,12258329,30000000,16160081931
2023-03-21 01:02:59 UTC,16872623,11328485,30000000,15790868365
2023-03-21 01:03:11 UTC,16872624,9631719,30000000,15307731615
2023-03-21 01:03:23 UTC,16872625,20919492,30000000,14622929909
2023-03-21 01:03:35 UTC,16872626,12307583,30000000,15344265880
2023-03-21 01:03:47 UTC,16872627,14923551,30000000,14999989528
2023-03-21 01:03:59 UTC,16872628,20590616,30000000,14990433410
2023-03-21 01:04:11 UTC,16872629,9406269,30000000,15688814717
2023-03-21 01:04:23 UTC,16872630,16703725,30000000,14957489641
2023-03-21 01:04:35 UTC,16872631,15399542,30000000,15169851716
2023-03-21 01:04:47 UTC,16872632,10160350,30000000,15220359990
2023-03-21 01:04:59 UTC,16872633,9762321,30000000,14606516530
2023-03-21 01:05:11 UTC,16872634,26830438,30000000,13968981156
2023-03-21 01:05:23 UTC,16872635,14711759,30000000,15346140868
2023-03-21 01:05:35 UTC,16872636,10695184,30000000,15309279310
2023-03-21 01:05:47 UTC,16872637,10368485,30000000,14760082389
2023-03-21 01:05:59 UTC,16872638,11910501,30000000,14190402865
2023-03-21 01:06:11 UTC,16872639,13796723,30000000,13825059237
2023-03-21 01:06:23 UTC,16872640,10117153,30000000,13686431106
2023-03-21 01:06:35 UTC,16872641,20721767,30000000,13129524864
2023-03-21 01:06:47 UTC,16872642,14607748,30000000,13755558881
2023-03-21 01:06:59 UTC,16872643,29818141,30000000,13710595169
